Team,Gms,Num,Yds,Avg,Lg,TD,Yds/G,Year
Arizona Cardinals,16,22,417,18.95,43,0,26.1,2014
Atlanta Falcons,16,50,1174,23.48,66,0,73.4,2014
Baltimore Ravens,16,38,1077,28.34,108t,1,67.3,2014
Buffalo Bills,16,33,770,23.33,102t,1,48.1,2014
Carolina Panthers,16,37,805,21.76,49,0,50.3,2014
Chicago Bears,16,55,1290,23.45,101t,1,80.6,2014
Cincinnati Bengals,16,45,1241,27.58,97,0,77.6,2014
Cleveland Browns,16,37,801,21.65,39,0,50.1,2014
Dallas Cowboys,16,33,790,23.94,42,0,49.4,2014
Denver Broncos,16,32,802,25.06,77,0,50.1,2014
Detroit Lions,16,25,612,24.48,41,0,38.2,2014
Green Bay Packers,16,29,555,19.14,41,0,34.7,2014
Houston Texans,16,20,422,21.1,41,0,26.4,2014
Indianapolis Colts,16,38,1065,28.03,76,0,66.6,2014
Jacksonville Jaguars,16,43,1033,24.02,40,0,64.6,2014
Kansas City Chiefs,16,51,1430,28.04,99t,1,89.4,2014
Miami Dolphins,16,41,1082,26.39,74,0,67.6,2014
Minnesota Vikings,16,54,1173,21.72,51,0,73.3,2014
New England Patriots,16,31,693,22.35,81,0,43.3,2014
New Orleans Saints,16,21,543,25.86,99,0,33.9,2014
New York Giants,16,44,1025,23.3,45,0,64.1,2014
New York Jets,16,58,1342,23.14,87,0,83.9,2014
Oakland Raiders,16,47,1027,21.85,42,0,64.2,2014
Philadelphia Eagles,16,32,874,27.31,107t,2,54.6,2014
Pittsburgh Steelers,16,35,758,21.66,41,0,47.4,2014
San Diego Chargers,16,26,577,22.19,35,0,36.1,2014
San Francisco 49ers,16,45,1104,24.53,57,0,69,2014
Seattle Seahawks,16,39,820,21.03,47,0,51.2,2014
St. Louis Rams,16,45,1099,24.42,75,0,68.7,2014
Tampa Bay Buccaneers,16,36,819,22.75,45,0,51.2,2014
Tennessee Titans,16,48,1121,23.35,52,0,70.1,2014
Washington Redskins,16,36,783,21.75,45,0,48.9,2014
Arizona Cardinals,16,32,770,24.06,108t,1,48.1,2015
Atlanta Falcons,16,26,667,25.65,50,0,41.7,2015
Baltimore Ravens,16,34,857,25.21,50,0,53.6,2015
Buffalo Bills,16,41,772,18.83,32,0,48.2,2015
Carolina Panthers,16,22,407,18.5,33,0,25.4,2015
Chicago Bears,16,33,892,27.03,74,0,55.8,2015
Cincinnati Bengals,16,34,700,20.59,58,0,43.8,2015
Cleveland Browns,16,41,1041,25.39,53,0,65.1,2015
Dallas Cowboys,16,28,704,25.14,79,0,44,2015
Denver Broncos,16,27,588,21.78,41,0,36.8,2015
Detroit Lions,16,44,1220,27.73,104,0,76.2,2015
Green Bay Packers,16,36,881,24.47,70,0,55.1,2015
Houston Texans,16,18,430,23.89,41,0,26.9,2015
Indianapolis Colts,16,43,1047,24.35,60,0,65.4,2015
Jacksonville Jaguars,16,31,721,23.26,42,0,45.1,2015
Kansas City Chiefs,16,35,791,22.6,54,0,49.4,2015
Miami Dolphins,16,43,958,22.28,50,0,59.9,2015
Minnesota Vikings,16,42,1190,28.33,101t,2,74.4,2015
New England Patriots,16,25,469,18.76,75,0,29.3,2015
New Orleans Saints,16,28,605,21.61,38,0,37.8,2015
New York Giants,16,39,971,24.9,100t,1,60.7,2015
New York Jets,16,37,771,20.84,54,0,48.2,2015
Oakland Raiders,16,53,1268,23.92,70,0,79.2,2015
Philadelphia Eagles,16,27,565,20.93,49,0,35.3,2015
Pittsburgh Steelers,16,29,701,24.17,38,0,43.8,2015
San Diego Chargers,16,28,583,20.82,34,0,36.4,2015
San Francisco 49ers,16,42,993,23.64,40,0,62.1,2015
Seattle Seahawks,16,34,868,25.53,105t,1,54.2,2015
St. Louis Rams,16,34,830,24.41,102,0,51.9,2015
Tampa Bay Buccaneers,16,21,506,24.1,38,0,31.6,2015
Tennessee Titans,16,33,680,20.61,34,0,42.5,2015
Washington Redskins,16,40,999,24.98,101t,2,62.4,2015
Arizona Cardinals,16,25,544,21.76,51,0,34,2016
Atlanta Falcons,16,23,484,21.04,42,0,30.2,2016
Baltimore Ravens,16,28,636,22.71,60,0,39.8,2016
Buffalo Bills,16,39,829,21.26,45,0,51.8,2016
Carolina Panthers,16,37,828,22.38,59,0,51.8,2016
Chicago Bears,16,42,897,21.36,64,0,56.1,2016
Cincinnati Bengals,16,39,1003,25.72,84,0,62.7,2016
Cleveland Browns,16,34,634,18.65,36,0,39.6,2016
Dallas Cowboys,16,24,492,20.5,33,0,30.8,2016
Denver Broncos,16,21,481,22.9,46,0,30.1,2016
Detroit Lions,16,35,793,22.66,42,0,49.6,2016
Green Bay Packers,16,32,631,19.72,40,0,39.4,2016
Houston Texans,16,30,557,18.57,39,0,34.8,2016
Indianapolis Colts,16,32,804,25.12,99t,1,50.2,2016
Jacksonville Jaguars,16,37,881,23.81,100t,1,55.1,2016
Kansas City Chiefs,16,40,943,23.57,86t,1,58.9,2016
Los Angeles Rams,16,47,1122,23.87,61,0,70.1,2016
Miami Dolphins,16,35,879,25.11,96t,1,54.9,2016
Minnesota Vikings,16,33,902,27.33,104t,1,56.4,2016
New England Patriots,16,29,542,18.69,73,0,33.9,2016
New Orleans Saints,16,28,462,16.5,31,0,28.9,2016
New York Giants,16,31,739,23.84,46,0,46.2,2016
New York Jets,16,43,941,21.88,65,0,58.8,2016
Oakland Raiders,16,26,534,20.54,50,0,33.4,2016
Philadelphia Eagles,16,35,956,27.31,98t,2,59.8,2016
Pittsburgh Steelers,16,28,603,21.54,44,0,37.7,2016
San Diego Chargers,16,28,508,18.14,30,0,31.8,2016
San Francisco 49ers,16,38,749,19.71,41,0,46.8,2016
Seattle Seahawks,16,35,808,23.09,46,0,50.5,2016
Tampa Bay Buccaneers,16,21,307,14.62,26,0,19.2,2016
Tennessee Titans,16,33,629,19.06,37,0,39.3,2016
Washington Redskins,16,27,570,21.11,45,0,35.6,2016
Arizona Cardinals,16,29,592,20.41,55,0,37,2017
Atlanta Falcons,16,39,871,22.33,61,0,54.4,2017
Baltimore Ravens,16,34,936,27.53,96t,1,58.5,2017
Buffalo Bills,16,32,640,20,29,0,40,2017
Carolina Panthers,16,34,760,22.35,103t,1,47.5,2017
Chicago Bears,16,46,969,21.07,46,0,60.6,2017
Cincinnati Bengals,16,34,670,19.71,41,0,41.9,2017
Cleveland Browns,16,35,790,22.57,71,0,49.4,2017
Dallas Cowboys,16,25,620,24.8,61,0,38.8,2017
Denver Broncos,16,34,768,22.59,61,0,48,2017
Detroit Lions,16,32,583,18.22,35,0,36.4,2017
Green Bay Packers,16,35,761,21.74,34,0,47.6,2017
Houston Texans,16,27,558,20.67,42,0,34.9,2017
Indianapolis Colts,16,28,590,21.07,60,0,36.9,2017
Jacksonville Jaguars,16,25,551,22.04,68,0,34.4,2017
Kansas City Chiefs,16,47,1051,22.36,42,0,65.7,2017
Los Angeles Chargers,16,25,474,18.96,44,0,29.6,2017
Los Angeles Rams,16,40,1001,25.02,103t,1,62.6,2017
Miami Dolphins,16,40,834,20.85,37,0,52.1,2017
Minnesota Vikings,16,25,619,24.76,39,0,38.7,2017
New England Patriots,16,28,622,22.21,103t,1,38.9,2017
New Orleans Saints,16,36,825,22.92,106t,1,51.6,2017
New York Giants,16,31,609,19.65,30,0,38.1,2017
New York Jets,16,34,683,20.09,40,0,42.7,2017
Oakland Raiders,16,34,738,21.71,49,0,46.1,2017
Philadelphia Eagles,16,18,354,19.67,35,0,22.1,2017
Pittsburgh Steelers,16,33,630,19.09,96t,1,39.4,2017
San Francisco 49ers,16,31,570,18.39,34,0,35.6,2017
Seattle Seahawks,16,43,1004,23.35,99t,1,62.8,2017
Tampa Bay Buccaneers,16,20,432,21.6,50,0,27,2017
Tennessee Titans,16,28,618,22.07,57,0,38.6,2017
Washington Redskins,16,34,673,19.79,35,0,42.1,2017
Arizona Cardinals,16,25,536,21.44,36,0,33.5,2018
Atlanta Falcons,16,31,689,22.23,53,0,43.1,2018
Baltimore Ravens,16,32,707,22.09,39,0,44.2,2018
Buffalo Bills,16,38,807,21.24,49,0,50.4,2018
Carolina Panthers,16,26,582,22.38,37,0,36.4,2018
Chicago Bears,16,23,440,19.13,31,0,27.5,2018
Cincinnati Bengals,16,43,1071,24.91,77,0,66.9,2018
Cleveland Browns,16,44,884,20.09,35,0,55.2,2018
Dallas Cowboys,16,13,283,21.77,35,0,17.7,2018
Denver Broncos,16,30,604,20.13,35,0,37.8,2018
Detroit Lions,16,20,482,24.1,45,0,30.1,2018
Green Bay Packers,16,30,644,21.47,38,0,40.2,2018
Houston Texans,16,20,487,24.35,36,0,30.4,2018
Indianapolis Colts,16,17,337,19.82,29,0,21.1,2018
Jacksonville Jaguars,16,26,532,20.46,47,0,33.2,2018
Kansas City Chiefs,16,40,975,24.38,97,0,60.9,2018
Los Angeles Chargers,16,28,653,23.32,40,0,40.8,2018
Los Angeles Rams,16,39,834,21.38,40,0,52.1,2018
Miami Dolphins,16,39,938,24.05,102t,1,58.6,2018
Minnesota Vikings,16,22,540,24.55,46,0,33.8,2018
New England Patriots,16,28,755,26.96,95t,1,47.2,2018
New Orleans Saints,16,23,560,24.35,50,0,35,2018
New York Giants,16,45,1097,24.38,51,0,68.6,2018
New York Jets,16,46,1238,26.91,99t,1,77.4,2018
Oakland Raiders,16,29,663,22.86,34,0,41.4,2018
Philadelphia Eagles,16,33,725,21.97,48,0,45.3,2018
Pittsburgh Steelers,16,32,619,19.34,35,0,38.7,2018
San Francisco 49ers,16,36,944,26.22,97t,1,59,2018
Seattle Seahawks,16,29,669,23.07,84,0,41.8,2018
Tampa Bay Buccaneers,16,31,631,20.35,38,0,39.4,2018
Tennessee Titans,16,23,737,32.04,94t,1,46.1,2018
Washington Redskins,16,29,570,19.66,44,0,35.6,2018
